day,pixels,leaves,leafsize_ave,leafwidth_ave,leafheight_ave,leafarea_ave,contourArea,width,height
1,1921,2,960.5,41.5,43.5,894.25,1797.5,84,70
1,2055,2,1027.5,44.0,43.5,959.0,1928.0,85,72
1,2163,2,1081.5,43.0,44.0,1013.0,2034.5,86,71
1,2205,2,1102.5,41.0,45.0,1034.75,2077.5,86,72
1,2309,2,1154.5,43.5,47.5,1082.75,2174.5,91,77
1,2451,2,1225.5,48.0,50.5,1149.5,2308.0,98,83
1,1824,2,912.0,37.0,40.5,851.0,1706.5,73,51
1,2142,2,1071.0,38.0,43.0,1008.25,2020.5,76,53
1,2286,2,1143.0,39.5,44.0,1080.0,2164.0,78,55
1,2450,2,1225.0,62.5,69.5,1705.5,2322.0,83,58
1,2606,2,1303.0,42.5,49.5,1232.0,2469.0,89,60
1,2585,2,1292.5,44.5,50.0,1216.75,2442.0,92,61
1,1397,3,465.6666666666667,25.333333333333332,24.666666666666668,427.8333333333333,1291.0,71,57
1,1573,3,524.3333333333334,26.666666666666668,26.333333333333332,484.5,1462.0,74,60
1,1849,3,616.3333333333334,27.0,28.333333333333332,573.5,1734.0,78,61
1,1988,3,662.6666666666666,28.333333333333332,29.333333333333332,618.8333333333334,1866.5,81,63
1,2232,4,558.0,26.0,25.5,519.625,2094.5,85,66
1,2491,4,622.75,28.75,28.0,579.875,2340.0,89,68
1,1429,2,714.5,31.5,34.0,663.25,1329.0,61,65
1,1634,2,817.0,34.5,36.0,761.5,1527.5,65,68
1,1800,2,900.0,35.0,38.0,843.0,1690.0,69,70
1,1918,2,959.0,36.5,39.0,900.5,1803.5,71,72
1,2082,3,694.0,29.333333333333332,29.333333333333332,648.0,1956.0,75,76
1,2233,3,744.3333333333334,32.666666666666664,31.0,694.6666666666666,2094.5,78,78
1,2174,2,1087.0,41.0,46.5,1019.25,2045.0,69,82
1,2247,2,1123.5,41.5,49.0,1053.0,2114.0,65,88
1,2342,2,1171.0,43.0,49.5,1097.5,2203.0,67,90
1,2498,2,1249.0,44.5,50.5,1176.5,2359.5,69,93
1,2860,4,715.0,28.5,29.5,672.625,2708.5,73,100
1,3079,4,769.75,30.0,31.25,723.5,2917.5,77,105
2,2605,3,868.3333333333334,35.333333333333336,34.333333333333336,816.6666666666666,2458.5,102,85
2,2706,3,902.0,37.666666666666664,34.666666666666664,847.0,2554.5,102,86
2,2799,4,699.75,27.75,28.25,657.625,2649.0,104,84
2,2927,4,731.75,30.25,29.75,686.5,2765.0,105,86
2,3408,4,852.0,36.0,33.25,799.375,3214.5,108,91
2,3851,4,962.75,39.25,36.0,906.25,3645.5,113,95
2,2744,3,914.6666666666666,33.0,38.333333333333336,860.0,2596.5,91,63
